co,no2,o3,pm10,pm25,predicted aqi,City,Date,county_name,cases
1.7,3.8,24.1,7.0,15.0,58.47999192018392,Atlanta,2019-12-30,Fulton,
3.1887431803630926,3.2227848101265826,21.6,18.581864163619226,13.0,53.062554955674955,Austin,2019-12-30,Travis,
4.066556291390727,9.097029702970302,17.6,22.0,28.0,84.83417267663367,Detroit,2019-12-30,Wayne,
3.3,11.2,6.4,20.0,61.0,156.34031517530514,Fresno,2019-12-30,Fresno,
2.4546875000000026,7.833333333333331,12.8,18.581864163619226,15.0,57.04951132685437,Houston,2019-12-30,Harris,
2.0,6.5,20.8,6.0,9.0,45.32706550685816,Indianapolis,2019-12-30,Marion,
1.6,2.964331210191083,18.4,19.08252427184466,18.0,63.73014168399959,Jackson,2019-12-30,Hinds,
4.4,2.8,9.4,14.0,30.0,90.19943161411584,Jacksonville,2019-12-30,Duval,
3.1887431803630926,7.547803469602588,23.3,18.581864163619226,15.0,57.026505523575565,Little Rock,2019-12-30,Pulaski,
4.2,26.0,8.8,22.0,42.0,114.1996392739452,Los Angeles,2019-12-30,Los Angeles,
3.1887431803630926,7.547803469602588,0.8,18.581864163619226,15.0,56.991347986606684,Nashville,2019-12-30,Davidson,
5.3,13.9,14.5,18.581864163619226,34.0,97.78170344496209,Oakland,2019-12-30,Alameda,
3.4,3.8,22.4,7.0,12.0,51.77787362292156,Oklahoma City,2019-12-30,Oklahoma,
3.1887431803630926,3.8,10.4,37.28729281767956,42.0,113.7600940992561,Sacramento,2019-12-30,Sacramento,
3.1887431803630926,4.569629629629629,14.5,18.581864163619226,21.0,70.02867328867308,San Antonio,2019-12-30,Bexar,
4.239080459770116,9.741954022988502,4.8,18.581864163619226,40.0,110.8907583523121,San Diego,2019-12-30,San Diego,
4.9,10.2,12.8,18.581864163619226,25.0,78.38587380382546,San Francisco,2019-12-30,San Francisco,
5.5,8.4,13.6,15.153191489361703,38.0,106.9415557654504,San Jose,2019-12-30,Santa Clara,
1.4894915254237284,7.547803469602588,10.2,18.581864163619226,20.0,67.66850593599827,Tallahassee,2019-12-30,Leon,
1.9,4.8,20.0,7.0,15.0,58.44071108285448,Atlanta,2019-12-31,Fulton,
3.1887431803630926,3.2227848101265826,21.6,18.581864163619226,18.0,63.8964023639503,Austin,2019-12-31,Travis,
4.066556291390727,9.097029702970302,18.4,10.0,26.0,81.66622673862435,Detroit,2019-12-31,Wayne,
6.5,13.0,8.0,34.0,79.0,193.8775045461948,Fresno,2019-12-31,Fresno,
2.4546875000000026,7.833333333333331,11.2,18.581864163619226,25.0,78.70773409410003,Houston,2019-12-31,Harris,
1.3,7.5,18.4,9.0,20.0,68.81151169567886,Indianapolis,2019-12-31,Marion,
2.3,2.964331210191083,14.5,19.08252427184466,20.0,68.0712718123217,Jackson,2019-12-31,Hinds,
3.2,5.5,11.0,8.0,23.0,75.49374753945915,Jacksonville,2019-12-31,Duval,
3.1887431803630926,7.547803469602588,22.4,18.581864163619226,14.0,54.87239684257213,Little Rock,2019-12-31,Pulaski,
7.7,32.5,2.4,23.0,51.0,133.26445085098896,Los Angeles,2019-12-31,Los Angeles,
3.1887431803630926,7.547803469602588,21.10340136054425,18.581864163619226,17.0,61.32169182245957,Nashville,2019-12-31,Davidson,
7.4,16.7,4.8,18.581864163619226,30.0,88.99290572664756,Oakland,2019-12-31,Alameda,
4.5,9.3,15.2,8.0,14.0,55.7423384447161,Oklahoma City,2019-12-31,Oklahoma,
3.1887431803630926,3.8,7.3,37.28729281767956,53.0,137.58373354217974,Sacramento,2019-12-31,Sacramento,
3.1887431803630926,4.569629629629629,23.3,18.581864163619226,25.0,78.69375342097067,San Antonio,2019-12-31,Bexar,
4.239080459770116,9.741954022988502,8.0,18.581864163619226,65.0,165.01770092758147,San Diego,2019-12-31,San Diego,
7.0,17.6,4.8,18.581864163619226,30.0,88.84297584399178,San Francisco,2019-12-31,San Francisco,
10.3,16.7,8.0,15.153191489361703,42.0,115.18543398682016,San Jose,2019-12-31,Santa Clara,
1.4894915254237284,7.547803469602588,9.4,18.581864163619226,20.0,67.67907955252508,Tallahassee,2019-12-31,Leon,
2.2,5.6,20.0,8.0,26.0,81.4559960100014,Atlanta,2020-01-01,Fulton,
3.1887431803630926,3.2227848101265826,20.8,18.581864163619226,43.0,117.35538166247045,Austin,2020-01-01,Travis,
4.066556291390727,9.097029702970302,23.3,11.0,30.0,89.56732509421022,Detroit,2020-01-01,Wayne,
5.8,13.0,12.8,39.0,97.0,231.70127587959928,Fresno,2020-01-01,Fresno,
2.4546875000000026,7.833333333333331,15.2,18.581864163619226,50.0,132.16451025817662,Houston,2020-01-01,Harris,
1.8,7.5,21.6,10.0,24.0,76.71315980076452,Indianapolis,2020-01-01,Marion,
2.4,2.964331210191083,20.8,19.08252427184466,54.0,141.0094999678347,Jackson,2020-01-01,Hinds,
3.0,5.1,9.0,11.0,30.0,89.72085525670661,Jacksonville,2020-01-01,Duval,
3.1887431803630926,7.547803469602588,19.2,18.581864163619226,38.0,106.16774951214961,Little Rock,2020-01-01,Pulaski,
5.5,20.4,6.4,29.0,61.0,154.29593324893722,Los Angeles,2020-01-01,Los Angeles,
3.1887431803630926,7.547803469602588,21.10340136054425,18.581864163619226,23.0,73.65046820478051,Nashville,2020-01-01,Davidson,
5.2,12.1,15.2,18.581864163619226,42.0,114.54216587825374,Oakland,2020-01-01,Alameda,
4.5,7.5,25.6,10.0,22.0,72.29615097492012,Oklahoma City,2020-01-01,Oklahoma,
3.1887431803630926,2.8,7.3,37.28729281767956,61.0,154.293243214703,Sacramento,2020-01-01,Sacramento,
3.1887431803630926,4.569629629629629,20.0,18.581864163619226,55.0,142.97752116616925,San Antonio,2020-01-01,Bexar,
4.239080459770116,9.741954022988502,14.5,18.581864163619226,66.0,166.51985291785422,San Diego,2020-01-01,San Diego,
4.7,7.5,17.6,18.581864163619226,34.0,97.3553779028199,San Francisco,2020-01-01,San Francisco,
5.8,8.4,16.8,15.153191489361703,34.0,97.63164954091417,San Jose,2020-01-01,Santa Clara,
1.4894915254237284,7.547803469602588,11.0,18.581864163619226,37.0,103.81913171450753,Tallahassee,2020-01-01,Leon,
3.0,10.2,15.2,16.0,48.0,128.08840250302057,Atlanta,2020-01-02,Fulton,
3.1887431803630926,3.2227848101265826,6.4,18.581864163619226,34.0,97.88964372777366,Austin,2020-01-02,Travis,
3.1887431803630926,7.547803469602588,19.681183010917515,18.581864163619226,37.54545454545455,105.29123499915033,Columbia,2020-01-02,Richland,
4.066556291390727,9.097029702970302,20.8,20.0,36.0,101.7032947525505,Detroit,2020-01-02,Wayne,
5.9,13.0,6.4,40.0,88.0,212.13584734737833,Fresno,2020-01-02,Fresno,
2.4546875000000026,7.833333333333331,8.8,18.581864163619226,25.0,78.05944929410873,Houston,2020-01-02,Harris,
2.0,7.5,22.4,12.0,21.0,70.03677703708036,Indianapolis,2020-01-02,Marion,
1.6,2.8,20.0,19.08252427184466,14.0,54.4397409761159,Jackson,2020-01-02,Hinds,
3.9,5.5,11.8,13.0,28.0,85.18744921915754,Jacksonville,2020-01-02,Duval,
3.1887431803630926,7.547803469602588,11.2,18.581864163619226,31.0,91.02853045719041,Little Rock,2020-01-02,Pulaski,
7.2,24.1,11.2,35.0,61.0,153.5375926190851,Los Angeles,2020-01-02,Los Angeles,
3.1887431803630926,7.547803469602588,0.8,18.581864163619226,21.0,69.34053722383351,Nashville,2020-01-02,Davidson,
6.3,15.8,7.3,18.581864163619226,34.0,97.04794104634334,Oakland,2020-01-02,Alameda,
4.5,5.6,20.0,10.0,28.0,85.39472300883676,Oklahoma City,2020-01-02,Oklahoma,
3.1887431803630926,3.8,8.0,37.28729281767956,55.0,141.26348227685605,Sacramento,2020-01-02,Sacramento,
3.1887431803630926,4.569629629629629,9.6,18.581864163619226,45.0,121.34521908993838,San Antonio,2020-01-02,Bexar,
