Date,Country,City,co,no2,o3,pm10,pm25,so2,aqi
2018-12-31,US,The Bronx,2.46676923076923,27.2,48.09352941176471,16.576044316846968,20.991202346041057,1.2542802878751702,70.0
2018-12-31,US,Tucson,1.8,4.4,28.1,11.0,21.0,0.2,70.0
2018-12-31,US,Washington D.C.,1.2,8.4,4.0,16.576044316846968,30.0,0.7,89.0
2019-01-01,US,Albuquerque,1.5,4.7,20.8,18.0,25.0,1.5618243243243242,78.0
2019-01-01,US,Atlanta,2.5,6.5,8.0,14.0,31.0,0.2,91.0
2019-01-01,US,Austin,5.7138446682611495,8.420395101030527,11.2,16.576044316846968,38.0,1.2542802878751702,107.0
2019-01-01,US,Baltimore,5.7138446682611495,5.6,19.2,6.0,13.0,1.964285714285715,53.0
2019-01-01,US,Boise,4.8,10.080740740740742,17.4,5.0,13.0,0.7,53.0
2019-01-01,US,Boston,2.0,3.8,22.4,16.576044316846968,21.0,1.5,70.0
2019-01-01,US,Brooklyn,1.838244514106583,12.36459627329193,20.8,16.576044316846968,38.0,1.2542802878751702,107.0
2019-01-01,US,Charlotte,0.6,8.420395101030527,18.4,16.576044316846968,21.0,2.0773809523809526,70.0
2019-01-01,US,Chicago,2.6,6.1,17.6,13.0,27.0,0.855066079295153,82.0
2019-01-01,US,Columbia,5.7138446682611495,8.420395101030527,17.6,16.576044316846968,34.0,1.517283950617284,97.0
2019-01-01,US,Columbus,1.789855072463764,2.8,29.35039682539685,16.576044316846968,22.0,1.54,72.0
2019-01-01,US,Dallas,5.7138446682611495,8.420395101030527,12.1,16.576044316846968,33.0,1.2542802878751702,95.0
2019-01-01,US,Denver,1.9,6.0,7.4,13.0,42.0,1.6,117.0
2019-01-01,US,Detroit,0.20833333333333334,8.420395101030527,10.4,6.0,22.0,2.1793103448275875,72.0
2019-01-01,US,El Paso,5.7138446682611495,4.7,17.6,19.0,50.0,1.2542802878751702,137.0
2019-01-01,US,Fort Worth,5.7138446682611495,8.420395101030527,12.1,16.576044316846968,27.0,1.2542802878751702,82.0
2019-01-01,US,Fresno,6.7,17.6,3.2,44.0,115.0,1.59375,182.0
2019-01-01,US,Hartford,2.4,2.8,9.4,8.0,21.0,1.2542802878751702,70.0
2019-01-01,US,Honolulu,3.4,8.420395101030527,27.2,17.0,21.0,1.5,70.0
2019-01-01,US,Houston,5.7138446682611495,8.420395101030527,15.2,16.576044316846968,40.0,1.2542802878751702,112.0
2019-01-01,US,Indianapolis,1.8,5.6,13.6,6.0,19.0,1.5213197969543144,66.0
2019-01-01,US,Jackson,0.3,1.7,8.0,16.576044316846968,25.0,1.5115702479338844,78.0
2019-01-01,US,Jacksonville,6.6,4.6,6.5,18.0,53.0,0.6,144.0
2019-01-01,US,Las Vegas,0.1,2.1,13.0,9.0,14.0,0.37630769230769207,55.0
2019-01-01,US,Little Rock,5.7138446682611495,8.420395101030527,10.4,16.576044316846968,25.0,1.2542802878751702,78.0
2019-01-01,US,Los Angeles,6.9,22.3,6.4,32.0,44.0,1.5,122.0
2019-01-01,US,Madison,5.7138446682611495,8.420395101030527,25.243255813953493,3.0,14.0,0.7405660377358472,55.0
2019-01-01,US,Manhattan,2.2,7.5,17.6,16.576044316846968,40.0,1.2542802878751702,112.0
2019-01-01,US,Memphis,5.7138446682611495,8.420395101030527,15.2,16.576044316846968,25.0,1.2542802878751702,78.0
2019-01-01,US,Miami,1.2,0.5,13.0,17.526315789473685,21.0,0.6030769230769196,70.0
2019-01-01,US,Milwaukee,2.6,6.1,24.1,11.0,20.0,0.9504531722054395,68.0
2019-01-01,US,Nashville,5.7138446682611495,8.420395101030527,0.8,16.576044316846968,21.0,1.2542802878751702,70.0
2019-01-01,US,Oakland,3.2,5.6,24.8,15.6,13.0,1.5,53.0
2019-01-01,US,Oklahoma City,3.4,1.9,18.4,13.0,36.0,1.5,102.0
2019-01-01,US,Omaha,1.5,8.420395101030527,24.1,11.0,17.0,1.9387500000000006,61.0
2019-01-01,US,Philadelphia,3.4,3.8,18.4,16.576044316846968,35.0,1.5088050314465409,99.0
2019-01-01,US,Phoenix,3.4,7.5,15.1,12.0,38.0,0.6,107.0
2019-01-01,US,Portland,6.7,12.1,0.1,16.576044316846968,57.0,1.2,152.0
2019-01-01,US,Providence,2.6,3.8,23.3,16.576044316846968,13.0,1.888311688311688,53.0
2019-01-01,US,Queens,2.4,8.4,18.4,16.576044316846968,36.0,1.2542802878751702,102.0
2019-01-01,US,Raleigh,2.0,3.8,19.2,11.0,30.0,1.5,89.0
2019-01-01,US,Richmond,0.1,1.8,9.4,16.576044316846968,21.0,0.1,70.0
2019-01-01,US,Sacramento,5.7138446682611495,1.9,0.1,4.0,13.0,1.2542802878751702,53.0
2019-01-01,US,Saint Paul,2.8,8.4,24.8,6.0,21.0,1.5,70.0
2019-01-01,US,Salem,5.7138446682611495,8.420395101030527,13.785207100591691,16.576044316846968,77.0,1.2542802878751702,162.0
2019-01-01,US,Salt Lake City,1.7,6.5,21.6,16.576044316846968,10.0,1.2542802878751702,42.0
2019-01-01,US,San Antonio,5.7138446682611495,8.420395101030527,12.8,16.576044316846968,42.0,1.2542802878751702,117.0
2019-01-01,US,San Diego,2.4,8.4,21.6,16.576044316846968,55.0,1.5,149.0
2019-01-01,US,San Francisco,2.7,6.5,24.8,15.6,13.0,1.5,53.0
2019-01-01,US,San Jose,3.6,9.3,24.8,5.0,21.0,1.5,70.0
2019-01-01,US,Seattle,4.4,13.9,2.4,16.576044316846968,63.0,1.5,155.0
2019-01-01,US,Springfield,5.7138446682611495,8.420395101030527,25.43370786516858,16.576044316846968,49.0,1.2542802878751702,134.0
2019-01-01,US,Staten Island,2.5,4.7,18.4,16.576044316846968,25.0,1.5555555555555554,78.0
2019-01-01,US,Tallahassee,9.1,8.420395101030527,10.6,16.576044316846968,26.0,0.600000000000001,80.0
2019-01-01,US,The Bronx,2.46676923076923,10.6,48.09352941176471,16.576044316846968,20.991202346041057,1.2542802878751702,70.0
2019-01-01,US,Tucson,1.9,3.6,24.8,4.0,13.0,0.2,53.0
2019-01-01,US,Washington D.C.,1.4,2.7,9.0,16.576044316846968,17.0,0.7,61.0
2019-01-02,US,Albuquerque,2.5,5.6,20.8,12.0,28.0,1.5,84.0
2019-01-02,US,Atlanta,2.8,10.2,13.6,15.0,33.0,0.2,95.0
2019-01-02,US,Austin,5.7138446682611495,8.420395101030527,8.0,16.576044316846968,13.0,1.2542802878751702,53.0
2019-01-02,US,Baltimore,5.7138446682611495,10.2,15.2,8.0,21.0,1.5,70.0
2019-01-02,US,Boise,4.5,10.080740740740742,17.6,8.0,13.0,0.6,53.0
2019-01-02,US,Boston,2.2,6.5,23.3,16.576044316846968,25.0,1.5,78.0
2019-01-02,US,Brooklyn,1.838244514106583,12.36459627329193,20.0,16.576044316846968,38.0,1.2542802878751702,107.0
2019-01-02,US,Charlotte,1.4,8.420395101030527,13.6,16.576044316846968,27.0,2.0773809523809526,82.0
2019-01-02,US,Chicago,2.7,10.3,13.6,14.0,38.0,0.855066079295153,107.0
2019-01-02,US,Columbia,5.7138446682611495,8.420395101030527,10.4,16.576044316846968,21.0,1.517283950617284,70.0
2019-01-02,US,Columbus,2.3,8.4,29.35039682539685,16.576044316846968,42.0,1.54,117.0
2019-01-02,US,Dallas,5.7138446682611495,8.420395101030527,6.4,16.576044316846968,20.0,1.2542802878751702,68.0
2019-01-02,US,Denver,5.5,18.3,6.1,20.0,46.0,0.6,127.0
2019-01-02,US,Detroit,0.20833333333333334,8.420395101030527,15.2,6.0,21.0,1.5,70.0
2019-01-02,US,El Paso,5.7138446682611495,3.8,15.2,13.0,31.0,1.2542802878751702,91.0
2019-01-02,US,Fort Worth,5.7138446682611495,8.420395101030527,8.0,16.576044316846968,20.0,1.2542802878751702,68.0
2019-01-02,US,Fresno,10.4,17.6,5.6,43.0,93.0,1.59375,170.0
2019-01-02,US,Hartford,2.3,6.0,8.6,9.0,23.0,1.2542802878751702,74.0
2019-01-02,US,Honolulu,3.4,8.420395101030527,26.4,19.0,21.0,1.5,70.0
2019-01-02,US,Houston,5.7138446682611495,8.420395101030527,12.8,16.576044316846968,13.0,1.2542802878751702,53.0
2019-01-02,US,Indianapolis,2.3,6.5,12.8,9.0,30.0,1.5,89.0
2019-01-02,US,Jackson,0.5,4.9,8.8,16.576044316846968,18.0,1.5115702479338844,63.0
2019-01-02,US,Jacksonville,7.0,6.0,7.8,19.0,39.0,0.6,110.0
2019-01-02,US,Las Vegas,0.1,5.6,9.4,13.0,20.0,0.6,68.0
2019-01-02,US,Little Rock,5.7138446682611495,8.420395101030527,11.2,16.576044316846968,21.0,1.2542802878751702,70.0
2019-01-02,US,Los Angeles,6.4,32.5,4.8,19.0,60.0,1.5,153.0
2019-01-02,US,Madison,5.7138446682611495,8.420395101030527,25.243255813953493,8.0,30.0,0.7405660377358472,89.0
2019-01-02,US,Manhattan,2.6,14.9,12.8,16.576044316846968,42.0,1.2542802878751702,117.0
2019-01-02,US,Memphis,5.7138446682611495,8.420395101030527,8.8,16.576044316846968,38.0,1.2542802878751702,107.0
2019-01-02,US,Miami,1.3,1.0,10.6,17.526315789473685,13.0,0.6030769230769196,53.0
2019-01-02,US,Milwaukee,2.7,10.3,15.2,14.0,38.0,4.3,107.0
2019-01-02,US,Nashville,5.7138446682611495,8.420395101030527,0.8,16.576044316846968,34.0,1.2542802878751702,97.0
2019-01-02,US,Oakland,7.2,25.1,4.0,15.6,42.0,1.5,117.0
2019-01-02,US,Oklahoma City,3.4,8.4,13.6,16.0,41.0,1.5,115.0
2019-01-02,US,Omaha,1.9,8.420395101030527,16.0,17.0,17.0,1.9387500000000006,61.0
2019-01-02,US,Philadelphia,4.5,6.5,13.6,16.576044316846968,30.0,1.5088050314465409,89.0
2019-01-02,US,Phoenix,3.4,13.9,15.2,11.0,25.0,0.1,78.0
2019-01-02,US,Portland,7.8,11.2,0.1,16.576044316846968,59.0,1.5,153.0
2019-01-02,US,Providence,3.5,13.9,22.4,16.576044316846968,17.0,1.888311688311688,61.0
2019-01-02,US,Queens,2.4,11.5,16.8,16.576044316846968,38.0,1.2542802878751702,107.0
2019-01-02,US,Raleigh,2.2,4.7,17.6,10.0,25.0,1.5,78.0
2019-01-02,US,Richmond,0.1,2.2,8.2,16.576044316846968,23.0,0.2,74.0
2019-01-02,US,Sacramento,5.7138446682611495,10.2,0.1,28.0,74.0,1.2542802878751702,161.0
2019-01-02,US,Saint Paul,2.8,8.4,15.2,10.0,21.0,1.5,70.0
2019-01-02,US,Salem,5.7138446682611495,8.420395101030527,13.785207100591691,16.576044316846968,58.0,1.2542802878751702,152.0
2019-01-02,US,Salt Lake City,3.2,26.9,7.3,16.576044316846968,30.0,1.2542802878751702,89.0
2019-01-02,US,San Antonio,5.7138446682611495,8.420395101030527,8.8,16.576044316846968,19.0,1.2542802878751702,66.0
2019-01-02,US,San Diego,3.5,13.0,15.2,16.576044316846968,25.0,1.5,78.0
2019-01-02,US,San Francisco,5.3,20.4,8.0,15.6,30.0,1.5,89.0
2019-01-02,US,San Jose,6.9,20.4,12.8,7.0,38.0,1.5,107.0
2019-01-02,US,Seattle,4.3,16.7,3.2,16.576044316846968,41.0,1.5,115.0
2019-01-02,US,Springfield,5.7138446682611495,8.420395101030527,25.43370786516858,16.576044316846968,31.0,1.2542802878751702,91.0
2019-01-02,US,Staten Island,3.4,20.4,11.2,16.576044316846968,33.0,1.5,95.0
2019-01-02,US,Tallahassee,9.1,8.420395101030527,8.6,16.576044316846968,16.0,0.600000000000001,59.0
2019-01-02,US,The Bronx,2.46676923076923,17.0,48.09352941176471,16.576044316846968,20.991202346041057,1.2542802878751702,70.0
2019-01-02,US,Tucson,2.0,5.6,22.4,9.0,21.0,0.2,70.0
2019-01-02,US,Washington D.C.,1.0,5.7,9.4,16.576044316846968,21.0,0.7,70.0
2019-01-03,US,Albuquerque,3.5,17.6,23.3,20.0,28.0,1.5,84.0
2019-01-03,US,Atlanta,2.8,11.2,6.4,13.0,27.0,1.3642570281124482,82.0
2019-01-03,US,Austin,5.7138446682611495,8.420395101030527,10.4,16.576044316846968,21.0,1.2542802878751702,70.0
2019-01-03,US,Baltimore,5.7138446682611495,13.0,14.5,10.0,25.0,1.5,78.0
2019-01-03,US,Boise,5.6,10.080740740740742,12.1,11.0,25.0,0.8,78.0
2019-01-03,US,Boston,2.9,9.3,14.5,16.576044316846968,30.0,1.5,89.0
2019-01-03,US,Brooklyn,1.838244514106583,12.36459627329193,16.0,16.576044316846968,37.0,1.2542802878751702,105.0
2019-01-03,US,Charlotte,1.5,8.420395101030527,6.4,16.576044316846968,25.0,2.0773809523809526,78.0
2019-01-03,US,Chicago,2.9,10.2,11.2,18.0,36.0,1.5,102.0
2019-01-03,US,Columbia,5.7138446682611495,8.420395101030527,9.6,16.576044316846968,21.0,1.517283950617284,70.0
2019-01-03,US,Columbus,1.2,4.7,29.35039682539685,16.576044316846968,38.0,1.54,107.0
2019-01-03,US,Dallas,5.7138446682611495,8.420395101030527,7.3,16.576044316846968,13.0,1.2542802878751702,53.0
2019-01-03,US,Denver,4.6,18.8,9.0,21.0,34.0,1.1,97.0
2019-01-03,US,Detroit,0.20833333333333334,8.420395101030527,14.5,14.0,28.0,2.1793103448275875,84.0
2019-01-03,US,El Paso,5.7138446682611495,4.7,16.8,10.0,24.0,1.2542802878751702,76.0
2019-01-03,US,Fort Worth,5.7138446682611495,8.420395101030527,10.4,16.576044316846968,10.0,1.2542802878751702,42.0
2019-01-03,US,Fresno,7.9,21.3,7.3,33.0,77.0,1.59375,162.0
2019-01-03,US,Hartford,2.5,6.9,6.1,10.0,28.0,1.2542802878751702,84.0
2019-01-03,US,Honolulu,3.4,8.420395101030527,26.4,15.0,21.0,1.5,70.0
2019-01-03,US,Houston,5.7138446682611495,8.420395101030527,8.8,16.576044316846968,8.0,1.2542802878751702,33.0
2019-01-03,US,Indianapolis,2.3,7.5,13.6,18.0,30.0,1.5,89.0
2019-01-03,US,Jackson,0.4,3.0,11.2,16.576044316846968,8.0,1.5115702479338844,33.0
2019-01-03,US,Jacksonville,4.8,6.4,7.4,14.0,25.0,0.6,78.0
2019-01-03,US,Las Vegas,0.1,16.1,4.5,20.0,32.0,1.2,93.0
2019-01-03,US,Little Rock,5.7138446682611495,8.420395101030527,7.3,16.576044316846968,24.0,1.2542802878751702,76.0
2019-01-03,US,Los Angeles,6.4,35.2,1.6,27.0,55.0,1.5,149.0
2019-01-03,US,Madison,5.7138446682611495,8.420395101030527,25.243255813953493,9.0,33.0,0.7405660377358472,95.0
2019-01-03,US,Manhattan,2.4,21.3,16.0,16.576044316846968,38.0,1.2542802878751702,107.0
2019-01-03,US,Memphis,5.7138446682611495,8.420395101030527,9.6,16.576044316846968,30.0,1.2542802878751702,89.0
2019-01-03,US,Miami,1.4,0.6666666666666666,8.6,17.526315789473685,21.0,0.6030769230769196,70.0
2019-01-03,US,Milwaukee,2.9,10.2,14.5,18.0,35.0,1.5,99.0
2019-01-03,US,Nashville,5.7138446682611495,8.420395101030527,0.8,16.576044316846968,38.0,1.2542802878751702,107.0
2019-01-03,US,Oakland,6.0,22.3,9.6,15.6,63.0,1.5,155.0
2019-01-03,US,Oklahoma City,3.4,7.5,10.4,12.0,48.0,1.5,132.0
2019-01-03,US,Omaha,2.3,8.420395101030527,8.0,14.0,21.0,1.5,70.0
2019-01-03,US,Philadelphia,2.3,9.3,12.1,16.576044316846968,31.0,1.5088050314465409,91.0
2019-01-03,US,Phoenix,7.8,22.3,7.4,24.0,59.0,0.1,153.0
2019-01-03,US,Portland,2.3,6.7,4.0,16.576044316846968,18.0,0.5,63.0
2019-01-03,US,Providence,5.3,16.7,18.4,16.576044316846968,30.0,1.888311688311688,89.0
2019-01-03,US,Queens,2.6,13.4,13.6,16.576044316846968,34.0,1.2542802878751702,97.0
2019-01-03,US,Raleigh,4.0,10.2,9.6,11.0,30.0,1.5,89.0
2019-01-03,US,Richmond,0.1,3.1,6.1,16.576044316846968,30.0,0.1,89.0
2019-01-03,US,Sacramento,5.7138446682611495,11.2,0.1,33.0,85.0,1.2542802878751702,166.0
