co,no2,o3,pm10,pm25,predicted aqi,City,Date
2.2,3.8,23.3,18.47656723982837,13.0,53.312075404832285,Boston,2020-12-29
2.703125000000001,10.695483870967745,26.4,18.47656723982837,28.0,85.42126668079675,Brooklyn,2020-12-29
0.5,5.8951754385964925,20.8,14.0,42.0,116.40032242120492,Charlotte,2020-12-29
3.2,12.1,13.6,17.0,43.0,117.95453069384371,Chicago,2020-12-29
2.3,11.2,27.718775510204093,18.47656723982837,23.0,74.55184278504976,Columbus,2020-12-29
1.2,3.8,20.8,12.0,20.0,69.05586521146529,Dallas,2020-12-29
3.0,11.5,5.7,20.0,57.0,147.98779852232906,Denver,2020-12-29
4.5,12.1,20.0,10.0,35.0,101.27898517620224,Detroit,2020-12-29
2.3,4.7,29.6,24.0,17.0,61.33982050353666,El Paso,2020-12-29
2.8652169542887327,4.7,20.8,18.47656723982837,25.0,79.18502494854044,Fort Worth,2020-12-29
4.8,13.0,7.3,17.0,55.0,143.84178903671227,Fresno,2020-12-29
1.5,1.4,12.6,5.0,8.0,43.83863808217632,Hartford,2020-12-29
5.6,7.6465755863285905,15.2,16.0,21.0,70.59451949257448,Honolulu,2020-12-29
1.2,7.0,25.6,18.47656723982837,18.0,63.8865640576156,Houston,2020-12-29
3.9,8.4,17.6,13.0,38.0,107.63086995312926,Indianapolis,2020-12-29
1.8,4.0,24.8,15.0,33.0,96.83206781468812,Jackson,2020-12-29
8.2,5.1,14.7,21.0,50.0,132.9953941481739,Jacksonville,2020-12-29
0.1,3.3,13.0,10.0,13.0,54.04646492110248,Las Vegas,2020-12-29
2.8652169542887327,7.6465755863285905,8.0,18.47656723982837,38.0,107.12279490172307,Little Rock,2020-12-29
4.9,24.1,4.0,14.0,43.0,117.52678310308067,Los Angeles,2020-12-29
2.8652169542887327,7.6465755863285905,29.0680751173709,11.0,41.0,114.31185950144027,Madison,2020-12-29
2.5,13.9,20.0,18.47656723982837,27.0,82.96529563215574,Manhattan,2020-12-29
2.8652169542887327,7.6465755863285905,15.2,18.47656723982837,42.0,115.75241171061668,Memphis,2020-12-29
1.4,7.6465755863285905,16.7,3.0,14.0,56.61883788257762,Miami,2020-12-29
3.2,12.1,15.6,16.0,47.0,126.57204391812581,Milwaukee,2020-12-29
2.8652169542887327,7.6465755863285905,22.92798507462688,18.47656723982837,55.0,143.87083776557722,Nashville,2020-12-29
6.3,19.5,4.0,18.47656723982837,34.0,97.8043450587262,Oakland,2020-12-29
5.6,5.6,17.6,18.0,50.0,133.1860651809252,Oklahoma City,2020-12-29
2.2,7.6465755863285905,12.1,7.0,17.0,62.698385466657214,Omaha,2020-12-29
1.2,6.5,22.4,18.47656723982837,25.0,78.96280353960367,Philadelphia,2020-12-29
5.6,15.1,11.2,21.0,33.0,95.59408156936433,Phoenix,2020-12-29
2.1,15.8,0.8,18.47656723982837,52.0,136.9300932046615,Portland,2020-12-29
3.7,11.2,26.4,18.47656723982837,17.0,61.38149451292793,Providence,2020-12-29
2.0,12.5,23.3,18.47656723982837,25.0,78.62836894690508,Queens,2020-12-29
2.5,5.6,20.0,11.0,38.0,107.83597800850544,Raleigh,2020-12-29
0.1,1.9,10.6,18.47656723982837,28.0,85.6597981460277,Richmond,2020-12-29
2.8652169542887327,6.5,0.1,9.0,21.0,71.17736447450079,Sacramento,2020-12-29
3.0,17.6,16.0,12.0,38.0,107.10679459521032,Saint Paul,2020-12-29
